mrun,distancia,p_prioritario,simce_let,simce_mat,cod_nivel,prioridad_h,es_mujer,prioritario,alto_rendimiento,tipo,alt
508951,0.73014,0,290,338,8,0,0,1,1,no_muni & no_conv,1
508951,0.39326,0,550,550,8,0,0,1,1,mun & no_conv,0
508951,3.2927,0,253,280,8,0,0,1,1,no_mun & conv,0
508951,4.1443,0,201,213,8,0,0,1,1,mun & conv,0
679145,9.9915,0.15,265,304,9,0,0,0,0,no_muni & no_conv,1
679145,10.156,0,303,326,9,0,0,0,0,mun & no_conv,0
679145,14.9935,0,254,302,9,0,0,0,0,no_mun & conv,0
679145,16.267,0.0093023,256,302,9,0,0,0,0,mun & conv,0
756314,0.8847,0,264,240,8,0,1,1,1,no_muni & no_conv,0
756314,0.47142,0,286,318,8,0,1,1,1,mun & no_conv,1
756314,1.0441,0,271,296,8,0,1,1,1,no_mun & conv,0
756314,39.3898,0,217,187,8,0,1,1,1,mun & conv,0
812086,2.71,0,252,298,7,0,1,1,0,no_muni & no_conv,0
812086,3.6579,0,550,550,7,0,1,1,0,mun & no_conv,0
812086,2.0478,0,260,308,7,0,1,1,0,no_mun & conv,1
812086,2.5206,0,550,550,7,0,1,1,0,mun & conv,0
1009317,0.62394,0.053571,260,271,9,0,0,1,0,no_muni & no_conv,0
1009317,2.9919,0.15,217,211,9,0,0,1,0,mun & no_conv,0
1009317,3.5725,0,273,297,9,0,0,1,0,no_mun & conv,1
1009317,2.2931,0.15,220,236,9,0,0,1,0,mun & conv,0
1084820,4.4157,0,307,297,9,0,0,0,1,no_muni & no_conv,0
1084820,13.6303,0,328,374,9,0,0,0,1,mun & no_conv,1
1084820,8.9641,0,310,343,9,0,0,0,1,no_mun & conv,0
1084820,12.9298,0,283,294,9,0,0,0,1,mun & conv,0
1176614,7.6043,0,550,550,7,0,1,0,1,no_muni & no_conv,0
1176614,2.931,0.15179,286,318,7,0,1,0,1,mun & no_conv,0
