mrun,distancia1,distancia2,distancia3,distancia4,p_prioritario1,p_prioritario2,p_prioritario3,p_prioritario4,simce_lect1,simce_lect2,simce_lect3,simce_lect4,simce_mate1,simce_mate2,simce_mate3,simce_mate4,cod_nivel,prioridad_hermano,es_mujer,prioritario,alto_rendimiento,convenio_pie,municipal,tipo
508951,.7301371326208824,.3932645930348249,3.292734962818587,4.144256268718368,0,0,0,0,290,550,253,201,338,550,280,213,8,0,0,1,1,0,0,1
679145,9.991509885813876,10.15600964682477,14.99353230658495,16.26699675820025,.15000001,0,0,.0093023255,265,303,254,256,304,326,302,302,9,0,0,0,0,0,0,1
756314,.8846995126511039,.471421784798945,1.044115965575525,39.38976242754752,0,0,0,0,264,286,271,217,240,318,296,187,8,0,1,1,1,0,1,2
812086,2.71001245857405,3.657887618104436,2.047777409417216,2.520649858500403,0,0,0,0,252,550,260,550,298,550,308,550,7,0,1,1,0,1,0,3
1009317,.6239428194377483,2.991866250912474,3.57252040881542,2.293062702533703,.053571429,.15000001,0,.15000001,260,217,273,220,271,211,297,236,9,0,0,1,0,1,0,3
1084820,4.415688214513451,13.63026896107906,8.964057187090843,12.92978687329107,0,0,0,0,307,328,310,283,297,374,343,294,9,0,0,0,1,0,1,2
1176614,7.604260158816435,2.930962259291237,2.727885394935213,2.145476071305752,0,.15178572,0,.15000001,550,286,294,292,550,318,338,337,7,0,1,0,1,1,1,4
1303011,21.59186026219625,8.208068860694228,22.47187478457468,3.944906448241631,0,0,0,0,278,550,280,550,299,550,334,550,3,0,0,0,1,1,1,4
1619107,.307862454096145,5.422757299283855,2.035371283874103,2.146189309803918,0,.15178572,0,0,550,286,241,244,550,318,243,246,7,0,1,1,0,1,1,4
2173210,.3685402170374031,1.752487731095854,1.573041789228126,1.790205146322436,0,.15000001,0,.058333334,256,311,242,550,280,351,272,550,7,0,0,0,0,0,1,2
2241615,8.130896128447018,5.807843081491881,8.637539374120637,7.814054941594531,0,0,0,.0062500001,252,297,260,251,298,313,302,271,9,0,0,1,0,1,1,4
2244519,8.177189437300619,5.02305678699724,5.69262760643552,.7746837713065609,0,.06666667,0,0,257,259,254,214,310,260,302,253,9,0,0,1,1,0,1,2
2354154,3.628143019475884,3.806404877175337,5.049307429705051,3.715076528257477,.15000001,0,.15000001,.15350877,238,287,231,208,232,330,228,198,9,0,1,1,1,1,1,4
2417044,3.449906463579377,4.295406742558015,.7497975997554047,.3032686318591871,0,0,0,0,244,297,223,236,234,313,198,228,9,0,1,0,0,0,0,1
2828890,2.575066095827792,2.72808392760789,.9601244700835287,2.636241984445617,.15000001,0,0,.15350877,238,287,256,208,232,330,280,198,9,0,1,1,1,0,1,2
2981612,3.14504259383096,2.076445469142394,2.728759289195595,4.806698927730022,0,0,0,.039999999,245,311,291,213,234,351,362,211,9,0,0,1,0,0,0,1
3096180,4.610032337789656,4.365605727419434,5.71051094699003,5.029890728400408,.15000001,0,.15441176,0,230,328,246,217,224,374,258,207,9,0,1,1,0,0,1,2
3311340,3.633336348310736,3.052530843401632,15.14007084896453,15.93095546709653,0,.15789473,.018750001,.15000001,276,287,213,292,264,330,253,337,7,0,1,1,1,1,1,4
3415236,1.889743991924035,2.875496549112375,1.145878267539558,2.724673500752127,.16666667,.15333334,.022222223,.15111111,249,328,271,265,227,374,277,292,7,0,1,0,0,0,1,2
3454601,32.53356034395134,14.13046416807957,1.078921030266071,31.96970236549951,0,0,0,0,279,303,273,288,317,326,282,308,9,0,1,0,1,1,0,3
3656842,1.099419498224094,1.566221324581567,.6409683565234381,.2049420916207705,.15000001,0,0,.15238096,228,219,260,219,237,213,256,227,9,0,1,1,0,0,0,1
3692584,.9257007781564376,1.580678292696363,4.277822378428419,16.4603233619653,0,0,0,0,273,287,220,292,314,330,235,337,8,0,1,1,0,0,1,2
3952492,.2450389254387461,6.727370342880384,.8376006000917814,.4903426137624669,.052631579,.15116279,0,0,250,313,229,550,276,331,271,550,7,0,1,0,1,0,1,2
4105623,1.909262201276867,6.821889200555836,3.29765595323898,7.1612863888121,0,.15714286,0,.15000001,256,259,274,292,283,260,305,337,7,0,0,0,0,1,0,3
4172948,2.350050488579589,2.533663980510827,5.177303311727854,3.730285442031316,.15000001,0,0,.15111111,265,297,268,201,304,313,296,198,9,0,1,0,1,1,1,4
4181824,3.458249720818553,1.555348643934557,1.179288784987423,1.526982849254625,.05172414,.15555556,0,.058333334,292,262,255,550,351,259,275,550,7,0,1,1,0,0,1,2
4306468,1.292617208161827,6.631769353775971,2.134203203828858,1.510778096936847,0,0,0,0,309,219,280,256,342,213,334,302,12,0,0,0,1,0,0,1
4416272,4.235587714151743,2.676653902381961,10.74652309688523,3.136212031283911,0,0,0,0,241,328,254,296,269,374,302,333,9,0,0,0,1,1,1,4
4456008,5.076028367897719,8.596765739742088,2.150318392328604,5.603428403267575,.15277778,0,0,0,243,311,268,262,260,351,281,270,9,0,0,1,1,1,0,3
